127.0.0.1 - - [30/Mar/2017:00:09:00 +0900] "GET / HTTP/1.1" 404 1070
192.168.0.2 - - [30/Mar/2017:00:09:17 +0900] "GET /light_web/restaurant/food.jpg HTTP/1.1" 200 240831
192.168.0.2 - - [30/Mar/2017:00:09:18 +0900] "GET /light_web/restaurant/1.jpg HTTP/1.1" 200 995000
192.168.0.2 - - [30/Mar/2017:00:09:19 +0900] "GET /light_web/restaurant/2.jpg HTTP/1.1" 200 49805
192.168.0.2 - - [30/Mar/2017:00:09:19 +0900] "GET /light_web/restaurant/3.jpg HTTP/1.1" 200 52675
192.168.0.2 - - [30/Mar/2017:00:25:52 +0900] "GET /light_web/restaurant/food.jpg HTTP/1.1" 200 240831
192.168.0.2 - - [30/Mar/2017:00:25:53 +0900] "GET /light_web/restaurant/1.jpg HTTP/1.1" 200 995000
192.168.0.2 - - [30/Mar/2017:00:25:53 +0900] "GET /light_web/restaurant/2.jpg HTTP/1.1" 200 49805
192.168.0.2 - - [30/Mar/2017:00:25:53 +0900] "GET /light_web/restaurant/3.jpg HTTP/1.1" 200 52675
192.168.0.2 - - [30/Mar/2017:00:26:00 +0900] "GET /light_web/restaurant/food.jpg HTTP/1.1" 200 240831
192.168.0.2 - - [30/Mar/2017:00:26:01 +0900] "GET /light_web/restaurant/1.jpg HTTP/1.1" 200 995000
192.168.0.2 - - [30/Mar/2017:00:26:01 +0900] "GET /light_web/restaurant/2.jpg HTTP/1.1" 200 49805
192.168.0.2 - - [30/Mar/2017:00:26:01 +0900] "GET /light_web/restaurant/3.jpg HTTP/1.1" 200 52675
192.168.0.2 - - [30/Mar/2017:00:27:03 +0900] "GET /light_web/restaurant/food.jpg HTTP/1.1" 200 240831
192.168.0.2 - - [30/Mar/2017:00:27:03 +0900] "GET /light_web/restaurant/1.jpg HTTP/1.1" 200 995000
192.168.0.2 - - [30/Mar/2017:00:27:03 +0900] "GET /light_web/restaurant/2.jpg HTTP/1.1" 200 49805
